# VIPERS Database
# File    : VIPERS_W1_SPECTRO_PDR1.txt.gz
# Date    : 2013-10-15 10:43
# Table   : W1_SPECTRO_PDR1
# Columns : 14
# Rows    : 30523
# SQL     : SELECT W1_SPECTRO_PDR1.id_IAU, W1_SPECTRO_PDR1.num, W1_SPEC
#           TRO_PDR1.alpha, W1_SPECTRO_PDR1.delta, W1_SPECTRO_PDR1.selm
#           ag, W1_SPECTRO_PDR1.errselmag, W1_SPECTRO_PDR1.pointing, W1
#           _SPECTRO_PDR1.quadrant, W1_SPECTRO_PDR1.zflg, W1_SPECTRO_PD
#           R1.zspec, W1_SPECTRO_PDR1.epoch, W1_SPECTRO_PDR1.photoMask,
#            W1_SPECTRO_PDR1.tsr, W1_SPECTRO_PDR1.ssr FROM W1_SPECTRO_P
#           DR1
# id_IAU	num	alpha	delta	selmag	errselmag	pointing	quadrant	zflg	zspec	epoch	photoMask	tsr	ssr
# CHAR	VARCHAR	DOUBLE	DOUBLE	FLOAT	FLOAT	VARCHAR	INT	FLOAT	FLOAT	INT	CHAR	FLOAT	FLOAT
# 		deg	deg	mag	mag								
VIPERS 122084353	122084353	33.239516	-4.287408	21.0817	0.0107	W1P044	2	  3.5	0.7386	1	1	0.4410	0.903
VIPERS 122098151	122098151	33.239027	-4.224537	21.4709	0.0133	W1P044	2	  3.4	0.6715	1	1	0.4519	0.920
VIPERS 122086460	122086460	33.241010	-4.277650	19.8394	0.0043	W1P044	2	  4.4	0.5184	1	1	0.4628	0.983
VIPERS 122096388	122096388	33.242318	-4.233617	22.2881	0.0231	W1P044	2	  9.5	0.7102	1	1	0.4463	0.771
VIPERS 122106267	122106267	33.243089	-4.186476	22.2921	0.0403	W1P044	2	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 122096879	122096879	33.244392	-4.228603	20.1330	0.0049	W1P044	2	  2.4	0.4860	1	1	0.4392	0.950
VIPERS 122107976	122107976	33.244580	-4.178362	21.3190	0.0133	W1P044	2	  9.5	0.9690	1	1	0.4519	0.815
VIPERS 122088918	122088918	33.245722	-4.267313	21.8639	0.0225	W1P044	2	  2.5	0.6422	1	1	0.4508	0.856
VIPERS 122087745	122087745	33.247017	-4.272756	22.1910	0.0242	W1P044	2	  4.2	0.7386	1	1	0.4524	0.771
VIPERS 122096311	122096311	33.247322	-4.234019	22.0431	0.0188	W1P044	2	  2.2	0.7480	1	1	0.4524	0.771
VIPERS 122094653	122094653	33.248454	-4.241681	22.1734	0.0229	W1P044	2	  2.5	0.6209	1	1	0.4524	0.756
VIPERS 122104615	122104615	33.249734	-4.194432	22.0453	0.0200	W1P044	2	  0.0	9.9999	1	1	0.4524	-1.000
VIPERS 122086778	122086778	33.251718	-4.274096	22.4307	0.0454	W1P044	2	  1.2	0.6967	1	1	0.4463	-1.000
VIPERS 122097156	122097156	33.250995	-4.229412	21.9791	0.0222	W1P044	2	  1.5	0.5626	1	1	0.4508	-1.000
VIPERS 122085377	122085377	33.253684	-4.282726	22.2901	0.0269	W1P044	2	  3.5	0.7410	1	1	0.4463	0.771
VIPERS 122095938	122095938	33.254119	-4.234787	21.7482	0.0263	W1P044	2	  3.2	0.6526	1	1	0.4525	0.856
VIPERS 122097166	122097166	33.256442	-4.229780	22.2192	0.0244	W1P044	2	  1.4	0.9730	1	1	0.4524	-1.000
VIPERS 122106599	122106599	33.255875	-4.184894	21.4768	0.0133	W1P044	2	  2.5	0.6482	1	1	0.4519	0.920
VIPERS 122100516	122100516	33.258110	-4.213471	21.5137	0.0195	W1P044	2	  2.2	0.8735	1	1	0.4525	0.821
VIPERS 122095941	122095941	33.261324	-4.235682	22.2588	0.0297	W1P044	2	  2.5	0.6700	1	1	0.4463	0.756
VIPERS 122108617	122108617	33.263069	-4.175774	21.3040	0.0136	W1P044	2	  2.4	1.0305	1	1	0.4519	0.646
VIPERS 122097784	122097784	33.264133	-4.226752	22.3114	0.0310	W1P044	2	  9.2	1.2697	1	1	0.4463	0.614
VIPERS 122097232	122097232	33.265699	-4.229510	22.0220	0.0253	W1P044	2	  2.5	0.6433	1	1	0.4524	0.756
VIPERS 122107832	122107832	33.266034	-4.179528	22.2186	0.0306	W1P044	2	  2.5	0.6477	1	1	0.4524	0.756
